city,week_start,cases,weekly_case_rate_per_100k,total_with_at_least_one_vaccine_dose,percent_with_at_least_one_vaccine_dose,total_with_complete_vaccine_series,percent_with_complete_vaccine_series
Schiller Park,5/9/2021,NA,NA,4562,38.7,3297,28
Schiller Park,5/16/2021,9,76,4894,41.5,3571,30.3
Schiller Park,5/23/2021,9,76,5105,43.3,3753,31.8
Schiller Park,5/30/2021,6,51,5247,44.5,3882,32.9
Schiller Park,6/6/2021,8,68,5399,45.8,4082,34.6
Schiller Park,6/13/2021,NA,NA,5556,47.1,4231,35.9
South Barrington,5/2/2021,NA,NA,2926,64.1,2372,52
South Barrington,5/9/2021,7,153,3006,65.8,2467,54
South Barrington,5/16/2021,0,0,3139,68.8,2557,56
South Barrington,5/23/2021,NA,NA,3192,69.9,2600,57
South Barrington,5/30/2021,NA,NA,3261,71.4,2656,58.2
South Barrington,6/6/2021,NA,NA,3296,72.2,2720,59.6
South Barrington,6/13/2021,NA,NA,3322,72.8,2768,60.6
South Chicago Heights,5/2/2021,5,121,1281,30.9,917,22.2
South Chicago Heights,5/9/2021,NA,NA,1331,32.2,1006,24.3
South Chicago Heights,5/16/2021,6,145,1389,33.6,1055,25.5
South Chicago Heights,5/23/2021,0,0,1458,35.2,1090,26.3
South Chicago Heights,5/30/2021,NA,NA,1501,36.3,1119,27
South Chicago Heights,6/6/2021,NA,NA,1547,37.4,1165,28.1
South Chicago Heights,6/13/2021,NA,NA,1577,38.1,1196,28.9
South Holland,5/2/2021,39,177,8821,40,6908,31.4
South Holl,5/9/2021,35,159,9144,41.5,7335,33.3
South Holl,5/16/2021,28,127,9500,43.1,7669,34.8
South Holl,5/23/2021,12,54,9730,44.2,7857,35.7
South Holl,5/30/2021,7,32,10013,45.5,8055,36.6
South Holl,6/6/2021,NA,NA,10211,46.4,8272,37.5
South Holl,6/13/2021,NA,NA,10361,47,8413,38.2
Steger,5/2/2021,5,122,1526,37.2,1151,28.1
Steger,5/9/2021,NA,NA,1556,37.9,1233,30.1
Steger,5/16/2021,NA,NA,1605,39.1,1290,31.4
Steger,5/23/2021,NA,NA,1648,40.2,1318,32.1
Steger,5/30/2021,NA,NA,1680,40.9,1342,32.7
Steger,6/6/2021,NA,NA,1704,41.5,1364,33.2
Steger,6/13/2021,0,0,1721,41.9,1393,34
Stone Park,5/2/2021,6,121,1760,35.6,1180,23.9
Stone Park,5/9/2021,NA,NA,1826,36.9,1295,26.2
Stone Park,5/16/2021,9,182,1966,39.7,1404,28.4
Stone Park,5/23/2021,NA,NA,2079,42,1488,30.1
Stone Park,5/30/2021,NA,NA,2134,43.1,1543,31.2
Stone Park,6/6/2021,NA,NA,2209,44.7,1613,32.6
Stone Park,6/13/2021,NA,NA,2260,45.7,1672,33.8
Streamwood,5/2/2021,50,125,19203,48.2,13400,33.6
Streamwood,5/9/2021,46,115,19939,50,14668,36.8
Streamwood,5/16/2021,31,78,20939,52.5,15849,39.8
Streamwood,5/23/2021,11,28,21654,54.3,16497,41.4
Streamwood,5/30/2021,NA,NA,22261,55.9,17054,42.8
Streamwood,6/6/2021,6,15,22769,57.1,17607,44.2
Streamwood,6/13/2021,NA,NA,23152,58.1,18049,45.3
Summit,5/2/2021,9,81,4564,41.3,2814,25.5
Summit,5/9/2021,10,90,4809,43.5,3341,30.2
Summit,5/16/2021,10,90,5120,46.3,3709,33.6
Summit,5/23/2021,5,45,5250,47.5,3857,34.9
Summit,5/30/2021,NA,NA,5365,48.5,3973,35.9
Summit,6/6/2021,NA,NA,5518,49.9,4144,37.5
Summit,6/13/2021,NA,NA,5632,50.9,4258,38.5
Thornton,5/2/2021,NA,NA,914,39.1,731,31.3
Thornton,5/9/2021,NA,NA,959,41,775,33.1
Thornton,5/16/2021,0,0,1003,42.9,815,34.9
Thornton,5/23/2021,NA,NA,1018,43.5,833,35.6
Thornton,5/30/2021,NA,NA,1047,44.8,864,37
Thornton,6/6/2021,0,0,1060,45.3,875,37.4
Thornton,6/13/2021,0,0,1075,46,894,38.2
Tinley Park,5/2/2021,55,112,27501,55.9,22100,44.9
Tinley Park,5/9/2021,28,57,28336,57.6,23439,47.6
Tinley Park,5/16/2021,39,79,29375,59.7,24343,49.4
Tinley Park,5/23/2021,14,28,29932,60.8,24835,50.4
Tinley Park,5/30/2021,10,20,30416,61.8,25320,51.4
Tinley Park,6/6/2021,5,10,30844,62.6,25835,52.5
Tinley Park,6/13/2021,12,24,31128,63.2,26272,53.4
University,5/2/2021,0,0,NA,NA,NA,NA
University,5/9/2021,0,0,41,15,NA,NA
University,5/16/2021,0,0,41,15,NA,NA
University,5/23/2021,NA,NA,41,15,NA,NA
University,5/30/2021,NA,NA,NA,NA,26,9.5
University,6/6/2021,0,0,NA,NA,26,9.5
University,6/13/2021,0,0,NA,NA,NA,NA
Westchester,5/2/2021,18,108,9786,58.5,7937,47.5
Westchester,5/9/2021,13,78,10046,60.1,8321,49.8
Westchester,5/16/2021,17,102,10411,62.3,8604,51.5
Westchester,5/23/2021,7,42,10604,63.4,8828,52.8
Westchester,5/30/2021,NA,NA,10756,64.3,8985,53.7
Westchester,6/6/2021,5,30,10937,65.4,9222,55.2
Westchester,6/13/2021,NA,NA,11067,66.2,9352,55.9
Western Springs,5/2/2021,10,77,8271,63.7,6738,51.9
Western Springs,5/9/2021,11,85,8497,65.5,7008,54
Western Springs,5/16/2021,8,62,8861,68.3,7242,55.8
Western Springs,5/23/2021,NA,NA,9071,69.9,7392,57
Western Springs,5/30/2021,0,0,9185,70.8,7520,58
Western Springs,6/6/2021,0,0,9316,71.8,7757,59.8
Western Springs,6/13/2021,NA,NA,9393,72.4,7914,61
Wheeling,5/2/2021,53,141,19511,51.8,13606,36.1
Wheeling,5/9/2021,35,93,20191,53.6,14596,38.8
Wheeling,5/16/2021,40,106,21462,57,15867,42.2
Wheeling,5/23/2021,11,29,22125,58.8,16688,44.3
Wheeling,5/30/2021,11,29,22689,60.3,17280,45.9
Wheeling,6/6/2021,10,27,23148,61.5,17971,47.7
Wheeling,6/13/2021,7,19,23486,62.4,18434,49
Willow Springs,5/2/2021,9,163,2577,46.7,2040,36.9
Willow Springs,5/9/2021,7,127,2654,48,2166,39.2
Willow Springs,5/16/2021,NA,NA,2741,49.6,2277,41.2
Willow Springs,5/23/2021,NA,NA,2806,50.8,2342,42.4
Willow Springs,5/30/2021,NA,NA,2871,52,2388,43.2
Willow Springs,6/6/2021,NA,NA,2914,52.8,2431,44
Willow Springs,6/13/2021,NA,NA,2950,53.4,2472,44.8
Wilmette,5/2/2021,10,37,17434,64.4,13909,51.3
Wilmette,5/9/2021,15,55,18520,68.4,14641,54.1
Wilmette,5/16/2021,18,66,19167,70.8,15107,55.8
Wilmette,5/23/2021,6,22,19451,71.8,15403,56.9
Wilmette,5/30/2021,NA,NA,19853,73.3,16128,59.5
Wilmette,6/6/2021,NA,NA,20098,74.2,16559,61.1
Wilmette,6/13/2021,0,0,20199,74.6,16736,61.8
Winnetka,5/2/2021,NA,NA,7910,64.9,6053,49.7
Winnetka,5/9/2021,9,74,8380,68.8,6390,52.4
Winnetka,5/16/2021,NA,NA,8725,71.6,6605,54.2
Winnetka,5/23/2021,0,0,8906,73.1,6761,55.5
Winnetka,5/30/2021,0,0,9119,74.8,7070,58
Winnetka,6/6/2021,NA,NA,9266,76,7317,60
Winnetka,6/13/2021,NA,NA,9330,76.6,7415,60.8
Worth,5/2/2021,9,83,3817,35.4,2726,25.3
Worth,5/9/2021,12,111,3982,36.9,2998,27.8
Worth,5/16/2021,11,102,4242,39.3,3208,29.7
Worth,5/23/2021,NA,NA,4394,40.7,3333,30.9
Worth,5/30/2021,NA,NA,4514,41.8,3425,31.7
Worth,6/6/2021,5,46,4642,43,3590,33.3
Worth,6/13/2021,NA,NA,4740,43.9,3692,34.2
