county,tract,state,placefp14,stab,cntyname,placefp,placenm,placenm14,pop10,afact
17031,8232.00,17,99999,IL,Cook IL, , , ,274,0.0562
17031,8233.02,17,99999,IL,Cook IL, , , ,6,0.001
17031,8233.04,17,99999,IL,Cook IL, , , ,1106,0.1866
17031,8234.00,17,99999,IL,Cook IL, , , ,32,0.0063
17031,8236.02,17,99999,IL,Cook IL, , , ,1154,0.1841
17031,8236.03,17,99999,IL,Cook IL, , , ,48,0.0178
17031,8236.05,17,99999,IL,Cook IL, , , ,895,0.1968
17031,8238.01,17,99999,IL,Cook IL, , , ,4163,0.7283
17031,8239.01,17,99999,IL,Cook IL, , , ,20,0.0057
17031,8239.03,17,99999,IL,Cook IL, , , ,1292,0.2745
17031,8239.04,17,99999,IL,Cook IL, , , ,143,0.0356
17031,8240.03,17,99999,IL,Cook IL, , , ,33,0.0052
17031,8240.04,17,99999,IL,Cook IL, , , ,2082,0.3876
17031,8240.05,17,99999,IL,Cook IL, , , ,689,0.1244
17031,8240.06,17,99999,IL,Cook IL, , , ,2203,0.5697
17031,8241.05,17,99999,IL,Cook IL, , , ,8,0.0012
17031,8241.06,17,99999,IL,Cook IL, , , ,374,0.053
17031,8241.07,17,99999,IL,Cook IL, , , ,6,0.0009
17031,8241.13,17,99999,IL,Cook IL, , , ,3265,0.4976
17031,8241.14,17,99999,IL,Cook IL, , , ,81,0.0172
17031,8241.15,17,99999,IL,Cook IL, , , ,35,0.0089
17031,8241.16,17,99999,IL,Cook IL, , , ,45,0.0095
17031,8241.17,17,99999,IL,Cook IL, , , ,48,0.0049
17031,8241.19,17,99999,IL,Cook IL, , , ,175,0.0308
17031,8241.20,17,99999,IL,Cook IL, , , ,807,0.093
17031,8241.21,17,99999,IL,Cook IL, , , ,13,0.0041
17031,8241.22,17,99999,IL,Cook IL, , , ,1,0.0002
17031,8245.03,17,99999,IL,Cook IL, , , ,287,0.0426
17031,8245.05,17,99999,IL,Cook IL, , , ,9,0.0013
17031,8245.06,17,99999,IL,Cook IL, , , ,126,0.0165
17031,8245.07,17,99999,IL,Cook IL, , , ,220,0.0522
17031,8246.01,17,99999,IL,Cook IL, , , ,163,0.0371
17031,8246.02,17,99999,IL,Cook IL, , , ,166,0.0254
17031,8248.00,17,99999,IL,Cook IL, , , ,37,0.0048
17031,8252.00,17,99999,IL,Cook IL, , , ,7,0.0035
17031,8253.02,17,99999,IL,Cook IL, , , ,374,0.0596
17031,8254.00,17,99999,IL,Cook IL, , , ,257,0.0474
17031,8255.01,17,99999,IL,Cook IL, , , ,82,0.0147
17031,8255.04,17,99999,IL,Cook IL, , , ,172,0.0461
17031,8255.05,17,99999,IL,Cook IL, , , ,136,0.0246
17031,8256.00,17,99999,IL,Cook IL, , , ,39,0.0069
