GEOID,NAME,tract,county,total_workers,essential,nonessential,conman,food,health,protection,socialservices,transport,total_pop,nonwhite_pct,pov_pct,hh_inc_med
17031530600,"Census Tract 5306, Cook County, Illinois",5306,Cook,1068,0.5365168539,0.4634831461,0.1189138577,0.04026217228,0.05617977528,0.1245318352,0.02996254682,0.1666666667,2653,0.996,0.288,32566
17031540101,"Census Tract 5401.01, Cook County, Illinois",5401.01,Cook,1105,0.5746606335,0.4253393665,0.1212669683,0.1221719457,0.1067873303,0.06968325792,0,0.1547511312,4055,0.994,0.529,14066
17031540102,"Census Tract 5401.02, Cook County, Illinois",5401.02,Cook,794,0.6523929471,0.3476070529,0.1586901763,0.04282115869,0.1662468514,0.06675062972,0.01385390428,0.2040302267,3207,0.967,0.642,13585
17031550100,"Census Tract 5501, Cook County, Illinois",5501,Cook,2810,0.5604982206,0.4395017794,0.2110320285,0.09572953737,0.04555160142,0.07651245552,0.01565836299,0.1160142349,6479,0.614,0.253,50637
17031550200,"Census Tract 5502, Cook County, Illinois",5502,Cook,1166,0.4965694683,0.5034305317,0.2512864494,0.04545454545,0.08061749571,0.08147512864,0.02144082333,0.01629502573,2726,0.595,0.055,53125
17031560100,"Census Tract 5601, Cook County, Illinois",5601,Cook,604,0.5976821192,0.4023178808,0.2798013245,0.06291390728,0.06953642384,0,0.004966887417,0.1804635762,1539,0.891,0.09,62059
17031560200,"Census Tract 5602, Cook County, Illinois",5602,Cook,601,0.5640599002,0.4359400998,0.1480865225,0.06322795341,0.05490848586,0.02828618968,0.03327787022,0.2362728785,1654,0.927,0.193,48250
17031560300,"Census Tract 5603, Cook County, Illinois",5603,Cook,1216,0.4325657895,0.5674342105,0.2171052632,0.07648026316,0.02220394737,0.009046052632,0.01726973684,0.09046052632,3145,0.692,0.132,51034
17031560400,"Census Tract 5604, Cook County, Illinois",5604,Cook,695,0.6604316547,0.3395683453,0.2762589928,0.07482014388,0.08201438849,0.02014388489,0.007194244604,0.2,1585,0.751,0.129,55670
17031560700,"Census Tract 5607, Cook County, Illinois",5607,Cook,1723,0.604759141,0.395240859,0.395240859,0.03366221706,0.04294834591,0.02321532211,0.005223447475,0.1044689495,3726,0.595,0.122,56452
17031560800,"Census Tract 5608, Cook County, Illinois",5608,Cook,2551,0.5268522148,0.4731477852,0.2152097217,0.01136809094,0.05684045472,0.1379851039,0.01646413171,0.08898471188,5886,0.529,0.066,70102
17031560900,"Census Tract 5609, Cook County, Illinois",5609,Cook,2830,0.4643109541,0.5356890459,0.1586572438,0.02756183746,0.08127208481,0.116254417,0.006007067138,0.07455830389,5341,0.414,0.015,96326
17031561000,"Census Tract 5610, Cook County, Illinois",5610,Cook,3135,0.546092504,0.453907496,0.2724082935,0.01754385965,0.09633173844,0.1023923445,0.01562998405,0.04178628389,6064,0.465,0.026,99667
17031561100,"Census Tract 5611, Cook County, Illinois",5611,Cook,2706,0.4648928307,0.5351071693,0.2084257206,0.07612712491,0.03806356245,0.07649667406,0.007021433851,0.05875831486,5502,0.493,0.043,84805
17031570100,"Census Tract 5701, Cook County, Illinois",5701,Cook,700,0.6214285714,0.3785714286,0.3071428571,0.11,0.06428571429,0.007142857143,0.01857142857,0.1142857143,1302,0.808,0.154,55809
17031570200,"Census Tract 5702, Cook County, Illinois",5702,Cook,839,0.483909416,0.516090584,0.1859356377,0.05244338498,0.063170441,0.009535160906,0.007151370679,0.1656734207,2074,0.818,0.227,43571
17031570300,"Census Tract 5703, Cook County, Illinois",5703,Cook,2452,0.6252039152,0.3747960848,0.2426590538,0.09420880914,0.0766721044,0.01712887439,0.0008156606852,0.1937194127,5691,0.85,0.202,44266
17031570400,"Census Tract 5704, Cook County, Illinois",5704,Cook,840,0.680952381,0.319047619,0.3845238095,0.08571428571,0.02857142857,0.005952380952,0.04166666667,0.1345238095,1725,0.897,0.088,41596
17031570500,"Census Tract 5705, Cook County, Illinois",5705,Cook,991,0.6468213925,0.3531786075,0.3521695257,0.03329969728,0.06659939455,0.02421796165,0.0141271443,0.156407669,2290,0.792,0.138,40000
17031580100,"Census Tract 5801, Cook County, Illinois",5801,Cook,1189,0.6021867115,0.3978132885,0.2304457527,0.1278385198,0.07653490328,0.007569386039,0.003364171573,0.1564339781,2758,0.956,0.184,41681
17031580200,"Census Tract 5802, Cook County, Illinois",5802,Cook,1470,0.6476190476,0.3523809524,0.3680272109,0.1292517007,0.0380952381,0.002721088435,0,0.1095238095,3784,0.941,0.257,43667
17031580300,"Census Tract 5803, Cook County, Illinois",5803,Cook,1108,0.7157039711,0.2842960289,0.3339350181,0.1597472924,0.01083032491,0.005415162455,0.01805054152,0.1877256318,2555,0.949,0.101,45888
17031580400,"Census Tract 5804, Cook County, Illinois",5804,Cook,2262,0.658709107,0.341290893,0.3691423519,0.03359858532,0.04862953139,0.03006189213,0.01016799293,0.1671087533,4712,0.911,0.176,41167
17031580501,"Census Tract 5805.01, Cook County, Illinois",5805.01,Cook,2133,0.7168307548,0.2831692452,0.4017815284,0.1373652133,0.05016408814,0.02062822316,0.01781528364,0.08907641819,4981,0.915,0.255,39706
17031580502,"Census Tract 5805.02, Cook County, Illinois",5805.02,Cook,2583,0.6500193573,0.3499806427,0.3019744483,0.1014324429,0.07471931862,0.01742160279,0.005807200929,0.1486643438,5581,0.907,0.212,40233
17031580600,"Census Tract 5806, Cook County, Illinois",5806,Cook,2218,0.6555455365,0.3444544635,0.296663661,0.1230838593,0.06266907124,0.02028854824,0.005861136159,0.1469792606,5174,0.883,0.176,46419
17031580700,"Census Tract 5807, Cook County, Illinois",5807,Cook,2408,0.6453488372,0.3546511628,0.2703488372,0.1245847176,0.03696013289,0.0207641196,0.004983388704,0.1877076412,6238,0.946,0.181,44986
17031580800,"Census Tract 5808, Cook County, Illinois",5808,Cook,1021,0.680705191,0.319294809,0.3369245837,0.1273261508,0.0166503428,0.01469147894,0,0.1851126347,2213,0.967,0.164,42946
17031590500,"Census Tract 5905, Cook County, Illinois",5905,Cook,844,0.6196682464,0.3803317536,0.2677725118,0.172985782,0.0971563981,0.008293838863,0.01421800948,0.05924170616,1842,0.83,0.214,53295
17031590600,"Census Tract 5906, Cook County, Illinois",5906,Cook,1661,0.5243829019,0.4756170981,0.1986754967,0.06742925948,0.08368452739,0.02769416014,0.004816375677,0.1420830825,3678,0.791,0.183,40536
17031590700,"Census Tract 5907, Cook County, Illinois",5907,Cook,1730,0.5526011561,0.4473988439,0.2612716763,0.1046242775,0.07514450867,0.02774566474,0.02312138728,0.06069364162,3393,0.877,0.297,44906
17031600400,"Census Tract 6004, Cook County, Illinois",6004,Cook,2094,0.523400191,0.476599809,0.2029608405,0.1709646609,0.0635148042,0.03247373448,0.02148997135,0.03199617956,4413,0.791,0.283,34127
17031600600,"Census Tract 6006, Cook County, Illinois",6006,Cook,1469,0.526208305,0.473791695,0.1586113002,0.1776718856,0.05582028591,0,0.02995234854,0.1041524847,3125,0.812,0.166,36005
17031600700,"Census Tract 6007, Cook County, Illinois",6007,Cook,1240,0.4782258065,0.5217741935,0.07903225806,0.114516129,0.06612903226,0.04919354839,0.02822580645,0.1411290323,2579,0.591,0.179,35523
17031600900,"Census Tract 6009, Cook County, Illinois",6009,Cook,1945,0.4087403599,0.5912596401,0.1197943445,0.1727506427,0.05398457584,0.01696658098,0.01388174807,0.03136246787,3466,0.582,0.112,55018
17031610300,"Census Tract 6103, Cook County, Illinois",6103,Cook,2272,0.7275528169,0.2724471831,0.3983274648,0.1654929577,0.03785211268,0,0.004401408451,0.1214788732,5941,0.963,0.295,33507
